Year,Location_Name,Treated,Treated_Label,production,land_use,municipal_burden,external_input,market,FSOI
2010,Eskişehir,2,Old-metropolitan,0.2960672589287767,0.2751883101395705,0.7710383758078609,0.7325637451224969,0.39554947350477015,0.494081432700695
2012,Eskişehir,2,Old-metropolitan,0.319824912827475,0.2636977520567615,0.8436133318446353,0.7044658784001349,0.3097572657769953,0.48827182818120035
2014,Eskişehir,2,Old-metropolitan,0.3304440723109918,0.23791809369291803,0.8496900627839712,0.7086435270868355,0.2806180905786474,0.4814627692906727
2016,Eskişehir,2,Old-metropolitan,0.352262222804652,0.24486293905950024,0.7665305164910308,0.6705750029581659,0.26583386742231163,0.46001290974713205
2018,Eskişehir,2,Old-metropolitan,0.354525403131954,0.24831447718213492,0.8025048653091393,0.7061381725738921,0.24362155154651552,0.47102089394872726
2020,Eskişehir,2,Old-metropolitan,0.3873219110900769,0.2671136860359042,0.8107292009249287,0.6408878965617423,0.26110012639054375,0.4734305642006392
2008,Bilecik,0,Non-metropolitan,0.2967430039066134,0.4067468460089468,0.6800775569515847,0.877694219119173,0.5475750677713569,0.561767338751535
2010,Bilecik,0,Non-metropolitan,0.31613909299387993,0.3778937251991611,0.6724613993671062,0.8524487686125652,0.5284700734039897,0.5494826119153404
2012,Bilecik,0,Non-metropolitan,0.338680769119311,0.3897190038513344,0.7241219930820851,0.8835024120584618,0.40208242553469303,0.5476213207291771
2014,Bilecik,0,Non-metropolitan,0.3690309956478313,0.3935993851357615,0.7563764716178807,0.8761427203227872,0.3618080660865331,0.5513915277621588
2016,Bilecik,0,Non-metropolitan,0.34081461848218625,0.37911691392556107,0.8196613056800238,0.8616927850380003,0.2919370620001025,0.5386445370251748
2018,Bilecik,0,Non-metropolitan,0.332103869810706,0.37408291611059996,0.8387024681060812,0.8570515153918948,0.28461916137319604,0.5373119861584955
2020,Bilecik,0,Non-metropolitan,0.3401806715551357,0.36069259786497454,0.7791407021589714,0.8422322833160659,0.269475688853655,0.5183443887497605
2008,Kocaeli,2,Old-metropolitan,0.08997372041764774,0.22376380929855957,0.5342130499583504,0.9742230242069994,0.201850195205561,0.4048047598174236
2010,Kocaeli,2,Old-metropolitan,0.10097792637613211,0.2250114727321046,0.5050518220339293,0.9780243364667142,0.18891546082642488,0.39959620368706106
2012,Kocaeli,2,Old-metropolitan,0.08997206329094153,0.22205947730061829,0.536612487318414,0.9691484474759808,0.12122765759936964,0.38780402659706487
2014,Kocaeli,2,Old-metropolitan,0.09189485409359054,0.2190052688270019,0.5620469222982738,0.9780751408793709,0.09992007542077526,0.3901884523038025
2016,Kocaeli,2,Old-metropolitan,0.08740416380094772,0.21703761044865938,0.5451985116850461,0.9725444335780731,0.07415712195032435,0.3792683682926101
2018,Kocaeli,2,Old-metropolitan,0.08316231657810783,0.21590533542457419,0.5626478698925839,0.9799328211403736,0.05476097998538354,0.3792818646042046
2020,Kocaeli,2,Old-metropolitan,0.08390971879746528,0.215844593209159,0.5781744853347889,0.969576605391185,0.048856006930698415,0.3792722819326593
2008,Sakarya,2,Old-metropolitan,0.2754663598540584,0.33640517561880967,0.534384905037889,0.7777733678127801,0.538768035325255,0.4925595687297585
2010,Sakarya,2,Old-metropolitan,0.2668361081328885,0.3231056940459939,0.6071549661698786,0.8311084547841161,0.6542337989353482,0.5364878044136451
2012,Sakarya,2,Old-metropolitan,0.25972531338323407,0.31335166892070637,0.5415040722747559,0.7942557350828627,0.4063425244633308,0.46303586282497805
2014,Sakarya,2,Old-metropolitan,0.25773418893158584,0.3100683456560165,0.44332496006144123,0.817668609317858,0.3635173994869206,0.43846270069076443
2016,Sakarya,2,Old-metropolitan,0.24417378182374372,0.2996075892132091,0.31640151494933677,0.7790533075041868,0.2991237053608176,0.3876719797702588
2018,Sakarya,2,Old-metropolitan,0.2384553618696704,0.29324856172087166,0.3804123680296574,0.8396607237397131,0.22593101329252527,0.3955416057304876
2020,Sakarya,2,Old-metropolitan,0.2430719854356975,0.28823624049911356,0.4557881374518827,0.7798878792829311,0.22778566392201793,0.3989539813183286
2008,Düzce,0,Non-metropolitan,0.16250135497012022,0.35224318401225807,0.6934185899604302,0.8752649001969207,0.36661187089223396,0.4900079800063926
2010,Düzce,0,Non-metropolitan,0.12267322425441039,0.3293082140438752,0.6348974574418829,0.9065377933933289,0.4050319159379336,0.4796897210142862
2012,Düzce,0,Non-metropolitan,0.15062913615532908,0.3227127800455948,0.6895640396792025,0.8569219620773441,0.38781846357202543,0.48152927630589915
2014,Düzce,0,Non-metropolitan,0.17478743038896907,0.3197426790323643,0.7396522553920739,0.8748604734952243,0.3273509718710866,0.48727876203594367
2016,Düzce,0,Non-metropolitan,0.16532348043060385,0.31118786099083645,0.8025533951768753,0.8770387349631277,0.2735726183931333,0.48593521799091527
2018,Düzce,0,Non-metropolitan,0.16517152770267424,0.3040266928977144,0.8297464666604875,0.9043862857987802,0.21287507130045524,0.48324120887202227
2020,Düzce,0,Non-metropolitan,0.17048104751131013,0.2987039307198728,0.8721863213264957,0.86253550076233,0.19387435669330036,0.47955623140266174
2008,Bolu,0,Non-metropolitan,0.31445195688513905,0.27919247273149983,0.7524649055167617,0.7371208086948748,0.7723304860500068,0.5711121259756564
2010,Bolu,0,Non-metropolitan,0.30788652010096856,0.2710027919606882,0.7558024350551698,0.8920372505999229,0.7722464647660697,0.5997950924965638
2012,Bolu,0,Non-metropolitan,0.29662746311206545,0.26544766536337006,0.7405353387828895,0.7936291571676146,0.49442704593051817,0.5181333340712915
2014,Bolu,0,Non-metropolitan,0.29599719546117353,0.26280195177616367,0.7334043553648102,0.7750942106627658,0.5367586890294209,0.5208112804588668
2016,Bolu,0,Non-metropolitan,0.2823991853200493,0.25731910440890093,0.8010848538756508,0.8489473605913821,0.40404232842216903,0.5187585665236305
2018,Bolu,0,Non-metropolitan,0.27063078581951094,0.25195099164459583,0.8287543436314284,0.8768530423684178,0.2912314762515917,0.503884127943109
2020,Bolu,0,Non-metropolitan,0.28208958296251657,0.25455814645729213,0.8197290291212194,0.7568239964984487,0.26326540193255193,0.4752932313944057
2008,Yalova,0,Non-metropolitan,0.15754016604719528,0.2568800178694556,0.2947603403812889,0.9620025189889843,0.26658919035077216,0.38755444672753925
2010,Yalova,0,Non-metropolitan,0.12563186622954947,0.25087835179745915,0.3918204769843617,0.9674476290247516,0.22960653492714708,0.3930769717926538
2012,Yalova,0,Non-metropolitan,0.12109879997672644,0.26997228427448694,0.45372606204570665,0.9739427096074575,0.21993876259602396,0.4077357237000803
2014,Yalova,0,Non-metropolitan,0.11001387822257909,0.2504985136133526,0.492224244732461,0.976610339721758,0.1657335423718168,0.3990161037323935
2016,Yalova,0,Non-metropolitan,0.08628985484221764,0.24590229985376472,0.4800169595342674,0.9694308884792602,0.12101503403500828,0.3805310073489036
2018,Yalova,0,Non-metropolitan,0.0817363305456067,0.24202105466247273,0.5551862743319309,0.9645496172329332,0.10098811157649606,0.38889627766988794
2020,Yalova,0,Non-metropolitan,0.05722401227613568,0.23707813087439486,0.5454857741661512,0.9632198880840679,0.0836521672509551,0.37733199453034094
2008,Ankara,2,Old-metropolitan,0.12198809398288056,0.24818021095413187,0.4631021647182538,0.9174341833690729,0.17105145500909322,0.38435122160668644
2010,Ankara,2,Old-metropolitan,0.1384944414528166,0.24573036080374813,0.5794250952599023,0.900330137548794,0.1886943862966123,0.4105348842723747
2012,Ankara,2,Old-metropolitan,0.13046613310812025,0.2404955010016434,0.6347010247752183,0.9096221140648142,0.1359103728044985,0.41023902915085897
2014,Ankara,2,Old-metropolitan,0.12404034517608592,0.23896006062162184,0.6197282226822447,0.9057222633603689,0.1289104728116421,0.4034722729303927
2016,Ankara,2,Old-metropolitan,0.13851266176157223,0.23747165201178527,0.6013356050968773,0.8970905944581602,0.11361675844424458,0.39760545435452793
2018,Ankara,2,Old-metropolitan,0.13144029195545293,0.23381345261357334,0.5756481440709824,0.9052251304496498,0.11734906645053743,0.3926952171080392
2020,Ankara,2,Old-metropolitan,0.14340326488935057,0.23571857683264302,0.6385686025227169,0.9124169187630069,0.11855322897653904,0.40973211839685125
2008,Konya,2,Old-metropolitan,0.3821232016719432,0.2024713540025244,0.557163827648671,0.39012937112270124,0.5215293350880059,0.41068341790676915
2010,Konya,2,Old-metropolitan,0.39878520294794767,0.21090428435464642,0.6317494839419825,0.38557208058658604,0.5915792082441853,0.44371805201506953
2012,Konya,2,Old-metropolitan,0.4032351588387084,0.23764290373635788,0.6233170708260578,0.2816009650333449,0.523522168411031,0.41386365336909997
2014,Konya,2,Old-metropolitan,0.40962939456165653,0.2674749983756611,0.6479182476484838,0.29648344693076906,0.5415708379175447,0.43261538508682307
2016,Konya,2,Old-metropolitan,0.42050541017181653,0.2907429145370154,0.586997951432708,0.17438588843932817,0.46316748082590714,0.3871599290813551
2018,Konya,2,Old-metropolitan,0.42601631033364773,0.32369287036696875,0.5667954099035625,0.254826653394505,0.4820890758015419,0.4106840639600452
2020,Konya,2,Old-metropolitan,0.45112040386752916,0.3355682689939724,0.5466314119926897,0.06323080826206001,0.48423440580633664,0.3761570597845176
2008,Karaman,0,Non-metropolitan,0.3988534933009596,0.6112228712806229,0.5711842908501787,0.3581405819095489,0.5970647648606638,0.5072932004403948
2010,Karaman,0,Non-metropolitan,0.37515353962586656,0.5833574924404463,0.8174813700358993,0.32199911915771157,0.6567143333527427,0.5509411709225333
2012,Karaman,0,Non-metropolitan,0.40722400647675716,0.555033438184329,0.8070402781999838,0.31157366587886265,0.6055528097685572,0.537284839701698
2014,Karaman,0,Non-metropolitan,0.44343292123885863,0.5664010691484198,0.8149464355791589,0.24837142543312812,0.6351805023400804,0.5416664707479291
2016,Karaman,0,Non-metropolitan,0.44441105338310355,0.568708413207995,0.8481098493915517,0.06750622830284136,0.6007422286504709,0.5058955545871925
2018,Karaman,0,Non-metropolitan,0.44899309470071186,0.5797754431453372,0.8110617177705072,0.14047948800838583,0.6056410272878553,0.5171901541825595
2020,Karaman,0,Non-metropolitan,0.4557681577970953,0.5664397896691701,0.8186995814716032,0.11360573426103715,0.5802431060387191,0.5069512738475249
2008,Antalya,2,Old-metropolitan,0.6344289322226163,0.5234220292595746,0.4044913704593521,0.824381764478267,0.3925771776844524,0.5558602548208524
2010,Antalya,2,Old-metropolitan,0.6217961370909437,0.5109285260070203,0.433912795892361,0.8201632868591646,0.4633915765586772,0.5700384644816334
2012,Antalya,2,Old-metropolitan,0.6186326644281551,0.5019620338802585,0.4956094346713438,0.845893272688016,0.4009459189102335,0.5726086649156013
2014,Antalya,2,Old-metropolitan,0.6086604616419407,0.49336521431666114,0.47054032497218723,0.8459538040059078,0.34408034248903285,0.5525200294851459
2016,Antalya,2,Old-metropolitan,0.605457370934699,0.4904938441549135,0.40976568825612325,0.8384313604468594,0.29299669507051507,0.527428991772622
2018,Antalya,2,Old-metropolitan,0.6107149221878477,0.48499385692779295,0.3521276603133275,0.8674382430871088,0.27707790934646354,0.5184705183725081
