YIL,BÖLGE KODU,BÖLGE ADI,Adrese Dayalý Nüfus Kayýt Sistemine göre yaþ grubu ve cinsiyete göre nüfus : Toplam,Tarýmsal üretim deðeri  : Bitkisel üretim deðeri  (1000 TL),Ortalama hanehalký büyüklüðü : Ortalama hanehalký büyüklüðü,Tahýllar ve diðer bitkisel ürünlerin hasat edilen alaný (hektar) : Toplam,Hanehalký tiplerine göre hanehalký sayýsý : Toplam,Niteliklerine göre örtü altý tarým alanlarý (dekar) : Toplam,Örtü altý sebze ve meyve üretimi (ton) : Toplam,Tahýllar ve diðer bitkisel ürünlerin üretim miktarý (ton) : Toplam,Adrese Dayalý Nüfus Kayýt Sistemine göre yaþ baðýmlýlýk oraný  : 15-64 yaþ grubu nüfus,Alan kullanýmý  : Ýþlenen tarým alaný / Ekilen (hektar),Ýçme ve kullanma suyu þebekesi ve arýtma tesisleri : Toplam çekilen su miktarý (1000 m3/yýl),Alan kullanýmý  : Ýþlenen tarým alaný / Nadas (hektar),Belediye atýk istatistikleri : Toplanan atýk miktarý (1000 ton),Kullaným yerlerine göre elektrik tüketimi : Tarýmsal faaliyetler (MWh),Alan kullanýmý  : Ýþlenen tarým alaný / Sebze (hektar),Ýçme ve kullanma suyu þebekesi ve arýtma tesisleri : Toplam arýtýlan içme ve kullanma suyu miktarý (1000 m3/yýl),Alan kullanýmý  : Toplam uzun ömürlü bitkilerin alaný (hektar)
2016,TRA24,Ardahan,98335,45286,"3,5",24098,26884,-,-,40068,64150,24099,5919,4022,25,-,8,-,53
2018,TRA24,Ardahan,98907,57682,"3,3",33846,28027,-,-,61050,65325,33846,5757,5033,25,-,11,-,59
2008,TRB11,Malatya,733789,710425,"4,5",95936,,13,151,204323,481372,142969,58916,98267,271,73637,5061,-,79509
2010,TRB11,Malatya,740643,681068,"4,3",132326,,-,-,383665,486593,132373,48547,99984,208,69151,4900,-,81681
2012,TRB11,Malatya,762366,926882,4,119103,,6,-,395151,506271,118601,48995,85518,227,82560,5546,-,85067
2014,TRB11,Malatya,769544,352629,"3,8",92506,197284,7,-,353521,511614,115013,39900,82941,264,91983,5595,-,86724
2016,TRB11,Malatya,781305,1321658,"3,7",110934,206879,9,-,474474,521089,110520,85231,79520,250,99745,4996,-,91587
2018,TRB11,Malatya,797036,1567189,"3,6",108908,214106,9,-,593241,532189,108364,94780,74751,271,100620,4234,-,90648
2008,TRB12,Elazýð,547562,436525,"4,4",114524,,121,170,530734,362829,115326,30603,43185,142,71671,4441,467,27646
2010,TRB12,Elazýð,552646,438421,"4,2",105483,,87,610,484008,367847,105611,33012,26952,198,35985,4897,467,24466
2012,TRB12,Elazýð,562703,492142,4,110176,,94,589,480192,378455,109321,34741,18991,259,32505,5945,407,23389
2014,TRB12,Elazýð,568753,470638,"3,7",107304,148255,356,3225,422070,384510,106571,34545,19996,269,37802,5881,422,24418
2016,TRB12,Elazýð,578789,763340,"3,6",104961,156406,379,3700,515126,394137,103920,35591,37738,272,35305,6405,271,26359
2018,TRB12,Elazýð,595638,997385,"3,5",107582,162118,1114,15807,566201,405491,106550,49920,45281,165,50282,6909,287,27830
2008,TRB13,Bingöl,256091,89254,"5,4",23849,,-,-,247780,161627,24354,10565,9372,63,1333,1615,-,2704
2010,TRB13,Bingöl,255170,86416,"5,2",23654,,-,-,285390,161582,23666,11714,7515,65,1655,1509,-,2875
2012,TRB13,Bingöl,262507,71049,"4,8",18913,,-,-,242350,170124,23350,13005,7024,69,322,1501,-,3176
2014,TRB13,Bingöl,266019,91046,"4,4",21810,58211,-,-,313798,174487,23125,12868,8072,71,564,1184,-,3582
2016,TRB13,Bingöl,269560,117029,"4,1",20047,63164,-,-,296520,177942,20088,13571,7209,60,306,1173,-,3473
2018,TRB13,Bingöl,281205,133822,"3,9",18567,68920,40,1000,349560,186745,18670,14543,7106,52,481,1192,-,3321
2008,TRB14,Tunceli,86449,44531,"3,7",33102,,6,97,79018,63018,33765,4071,48948,25,75,601,-,1725
2010,TRB14,Tunceli,76699,52959,"3,4",36637,,4,33,106522,53822,36731,5355,13729,23,124,339,-,1938
2012,TRB14,Tunceli,86276,60354,"3,1",34371,,6,43,99222,63915,34570,5663,19021,23,348,443,-,2189
2014,TRB14,Tunceli,86527,47701,"2,9",31771,25187,6,47,90831,63003,31801,5700,27355,24,420,405,-,2231
2016,TRB14,Tunceli,82193,68412,"2,8",28109,25705,4,33,101565,59481,28109,5797,28438,22,7893,434,-,2234
2018,TRB14,Tunceli,88198,90114,"2,8",28843,27640,5,39,107719,63628,28843,5809,19333,23,1210,456,-,2320
2008,TRB21,Van,1004369,153042,"6,9",196655,,47,639,917666,559985,209679,77669,74329,182,2067,1295,-,4145
2010,TRB21,Van,1035418,150632,7,216730,,78,398,1038733,582634,220417,76824,77588,202,759,1268,-,3976
2012,TRB21,Van,1051975,155562,"6,4",215486,,79,419,1063896,610479,220358,74710,114584,292,2895,1323,-,4408
2014,TRB21,Van,1085542,193664,"5,8",208233,184000,15,95,906786,643422,214610,94296,109079,381,3130,1641,-,5001
2016,TRB21,Van,1100190,255828,"5,3",210833,201722,87,1371,2840073,666877,213118,90258,97753,407,2097,1781,14980,5423
2018,TRB21,Van,1123784,372672,"5,1",178277,214859,158,2415,2077138,692990,180145,86269,101803,531,2721,2262,14980,5743
2008,TRB22,Muþ,404309,150299,"6,9",220743,,-,-,1000688,224382,228717,18685,49072,46,2977,2345,-,543
2010,TRB22,Muþ,406886,251993,"6,8",224660,,-,-,2257551,226414,224660,23199,48801,49,1662,3192,-,767
2012,TRB22,Muþ,413260,225412,"6,6",218781,,-,-,1851688,235883,220364,23473,23559,58,2303,3229,-,828
2014,TRB22,Muþ,411216,297200,6,217714,67063,-,-,2180278,239768,217784,25464,52872,64,1209,3489,-,851
2016,TRB22,Muþ,406501,390359,"5,4",212605,73529,-,-,2215302,241059,212575,24858,42815,64,2810,3679,-,985
2018,TRB22,Muþ,407992,642397,"5,1",215589,78294,-,-,2415028,245336,215561,26289,21421,70,1944,3856,-,1227
2008,TRB23,Bitlis,326897,136344,"6,4",78269,,5,31,328179,183827,78638,21274,39563,79,7648,755,-,1802
2010,TRB23,Bitlis,328767,148021,"6,4",82620,,-,-,491916,187055,82654,17788,14468,68,22672,676,-,1927
2012,TRB23,Bitlis,337253,152045,"6,1",83058,,-,-,518250,198531,86021,18682,9500,65,23024,1040,-,3055
2014,TRB23,Bitlis,338023,275533,"5,5",113921,58880,-,-,726296,202063,114851,32652,16700,58,27597,2269,305,4390
2016,TRB23,Bitlis,341225,369498,5,109693,65506,-,-,725337,208360,109904,27340,14647,61,35894,3011,400,5491
2018,TRB23,Bitlis,349396,534867,"4,7",102593,71174,-,-,641114,217215,102881,29013,11645,63,39048,3177,400,6293
2008,TRB24,Hakkari,258590,158780,"7,8",39413,,2,32,202767,150560,39720,9090,1950,28,5,2047,-,3439
2010,TRB24,Hakkari,251302,148279,"7,8",32424,,9,49,230025,145722,32424,8267,1850,27,5,1252,-,3724
2012,TRB24,Hakkari,279982,149925,"7,4",31826,,1,6,224039,176626,32199,8858,1900,27,24,1545,-,3856
2014,TRB24,Hakkari,276287,143875,"6,6",26362,38835,2,12,153531,175650,26362,6813,2676,44,26,1523,-,3270
2016,TRB24,Hakkari,267813,158477,"5,9",28802,42490,9,49,167025,173233,28813,6558,2039,45,37,1423,-,3154
2018,TRB24,Hakkari,286470,177503,"5,5",33638,46163,5,13,179198,193662,33712,7034,875,50,57,1772,-,4439
2008,TRC11,Gaziantep,1612223,889712,"4,9",107046,,7,151,456853,973781,152792,145564,10583,411,113287,7519,78321,153488
2010,TRC11,Gaziantep,1700763,1247068,"4,9",147117,,-,-,630276,1027855,147329,100367,7019,413,151590,6151,69909,148361
2012,TRC11,Gaziantep,1799558,1348680,"4,6",156893,,-,-,762634,1095726,151425,107480,3192,523,119849,8986,71012,203403
2014,TRC11,Gaziantep,1889466,1160076,"4,4",142265,418051,-,-,550665,1162019,148634,148470,3852,584,137454,8787,117989,200315
2016,TRC11,Gaziantep,1974244,2215832,"4,3",128987,452400,-,-,554556,1224669,138460,243305,2243,637,151978,8957,158160,204195
2018,TRC11,Gaziantep,2028563,4368596,"4,2",131326,472294,-,-,843464,1256976,124660,165759,781,651,149475,9872,107539,210601
2008,TRC12,Adýyaman,585067,415371,"5,3",232500,,39,239,459214,359457,234738,29049,300,152,117549,4184,-,37679
2010,TRC12,Adýyaman,590935,577093,"5,2",202684,,130,1635,549906,367240,202684,29288,559,134,45066,4525,-,38572
2012,TRC12,Adýyaman,595261,658667,"4,9",189149,,143,1704,618849,374616,187637,26482,1520,145,47875,5572,40,39436
2014,TRC12,Adýyaman,597835,890375,"4,6",192643,128465,122,1478,669446,377169,190823,24639,1025,150,52447,5923,445,42551
2016,TRC12,Adýyaman,610484,1181221,"4,4",186841,136885,173,2156,647666,386876,185147,27590,621,162,39075,5897,437,49174
2018,TRC12,Adýyaman,624513,2057911,"4,2",178110,144097,191,2375,596812,394469,177093,28727,645,167,68217,4611,4373,51992
2008,TRC13,Kilis,120991,172693,"4,6",43635,,-,-,33775,73285,43635,5676,2967,31,8062,12439,3154,38320
2010,TRC13,Kilis,123135,338162,"4,5",47832,,-,-,96696,74713,47837,4101,-,35,9538,13602,3862,38491
2012,TRC13,Kilis,124320,193542,"4,2",52268,,12,36,182109,76410,51584,5414,1129,71,10696,2697,5138,47735
2014,TRC13,Kilis,128781,347656,"3,9",40200,31474,15,87,66208,80772,40007,4739,4273,41,13203,6582,4409,54526
2016,TRC13,Kilis,130825,425749,"3,7",44106,33232,15,94,142781,82540,42591,11048,4332,61,18544,6382,10102,51296
2018,TRC13,Kilis,142541,589496,"3,7",40510,36585,15,90,194541,90516,39160,8329,4091,53,20671,4853,7412,54840
2008,TRC21,Þanlýurfa,1574224,2136883,"6,4",701933,,191,2356,2180326,859011,898160,84880,118961,270,485890,22695,51407,109530
2010,TRC21,Þanlýurfa,1663371,3189759,"6,5",994974,,233,3131,3205069,906833,995174,93933,142381,311,681544,17828,54759,103762
2012,TRC21,Þanlýurfa,1762075,3679138,"6,3",890825,,522,6998,3549428,970002,786087,101992,150605,407,575249,20592,55277,114666
2014,TRC21,Þanlýurfa,1845667,3838376,"6,1",970291,299693,518,6873,3342818,1026458,883790,109064,162799,575,65265,20315,61760,114684
2016,TRC21,Þanlýurfa,1940627,4557958,"5,8",909061,331270,758,10170,3130125,1090471,840122,115500,154500,694,406942,19655,83000,140948
2018,TRC21,Þanlýurfa,2035809,7964193,"5,6",815762,359197,993,14404,3088515,1147041,791208,120818,85607,544,1912329,20198,85000,157357
2008,TRC22,Diyarbakýr,1492828,833624,"6,3",351898,,328,1436,727244,877952,539587,91717,39066,360,82573,20977,51850,28537
2010,TRC22,Diyarbakýr,1528958,1484288,"6,2",546034,,248,2810,1680581,901644,546092,94086,22962,380,84744,15886,57000,26345
2012,TRC22,Diyarbakýr,1592167,1745998,"5,9",521205,,441,5785,1742564,957164,516729,92577,12165,487,63821,16741,61000,25203
2014,TRC22,Diyarbakýr,1635048,2080473,"5,4",559724,294140,550,7520,1903058,993459,555333,71455,18352,567,65163,15474,66230,25546
2016,TRC22,Diyarbakýr,1673119,2623776,"5,1",540945,321901,474,6635,2070145,1028230,537636,79793,12675,635,178621,13795,75178,25731
2018,TRC22,Diyarbakýr,1732396,3216571,"4,8",525470,350488,462,6579,1907962,1070752,522321,88037,11754,672,434540,14110,82443,22282
2008,TRC31,Mardin,750697,555356,"6,8",151186,,60,621,716678,425558,282036,31132,56535,165,223712,8334,631,22474
2010,TRC31,Mardin,744606,1056682,"6,7",301094,,206,2117,1137431,421130,301094,30824,10554,147,208174,8919,0,40252
2012,TRC31,Mardin,773026,1226738,"6,3",320507,,286,2973,1370380,449551,261226,29390,12506,173,187839,9161,0,39632
2014,TRC31,Mardin,788996,1434690,"5,9",338195,130445,304,2928,1533277,464299,277434,68878,5745,300,19528,9651,-,38925
2016,TRC31,Mardin,796237,1713009,"5,4",312535,144069,237,2346,1445266,475411,256579,65434,7241,208,292237,10272,-,39666
2018,TRC31,Mardin,829195,1972757,"5,1",305417,157532,250,2532,1266684,500683,258165,73815,4846,221,501061,8430,0,43038
2008,TRC32,Batman,485616,109873,"6,9",40951,,-,-,95587,266417,86223,32631,10403,123,9729,5149,-,6968
2010,TRC32,Batman,510200,298594,"6,9",110682,,-,-,334922,284908,110784,46227,2158,113,2776,3456,-,9140
2012,TRC32,Batman,534205,279609,"6,4",108721,,-,-,304823,307068,108404,48667,1108,131,3350,3121,-,11631
2014,TRC32,Batman,557593,384232,"6,1",101196,90351,25,400,379668,327523,99895,48725,766,132,2650,4295,-,10195
2016,TRC32,Batman,576899,457501,"5,7",89188,98569,45,810,309829,347212,88518,55888,374,194,3581,2945,4507,9751
2018,TRC32,Batman,599103,506750,"5,5",78804,107302,280,5320,294819,366400,78213,56619,295,152,25625,3060,389,12208
2008,TRC33,Þýrnak,429287,65301,"8,2",44686,,1,3,229943,228777,93710,11163,4399,110,6341,578,0,441
2010,TRC33,Þýrnak,430109,160185,"8,4",96285,,-,-,376977,224426,98301,13659,3276,119,8093,623,0,1602
2012,TRC33,Þýrnak,466982,169652,"7,9",87192,,-,-,301483,257424,88458,15614,4402,132,6109,627,0,1826
2014,TRC33,Þýrnak,488966,258478,"7,3",95620,63214,-,-,370564,276914,93004,16718,4236,139,2336,900,-,2076
2016,TRC33,Þýrnak,483788,227096,"6,7",73180,69294,-,-,301382,279176,71835,10212,2737,183,13073,982,-,2331
2018,TRC33,Þýrnak,524190,309982,"6,4",95737,76565,-,-,356161,313909,93214,31892,7625,207,42567,1213,7200,4583
2008,TRC34,Siirt,299819,117461,"7,1",76678,,11,168,103637,162837,78354,9230,1560,61,2952,2021,-,32715
2010,TRC34,Siirt,300695,303325,7,70288,,25,450,209442,163406,70425,17139,633,67,1460,1670,-,23862
2012,TRC34,Siirt,310879,396542,"6,5",62501,,25,439,199530,176089,62417,16302,742,75,104,1686,2160,26632
2014,TRC34,Siirt,318366,539977,6,52617,50813,25,442,163814,184434,52557,15001,1485,74,597,2017,12889,22330
2016,TRC34,Siirt,322664,373789,"5,5",51689,55609,50,368,156228,191383,51659,21137,11533,114,979,2262,12150,23296
2018,TRC34,Siirt,331670,616838,"5,2",45497,59196,53,848,144705,201365,50867,19776,5015,111,8376,1861,10010,31789
