Year,Location_Name,Treated,Treated_Label,production,land_use,municipal_burden,external_input,FSOI
2024,Bursa,2,Old-metropolitan,0.18529629101660797,0.25925972973584444,0.616727122210229,0.8711046701309054,0.48309695327339663
2008,Eskişehir,2,Old-metropolitan,0.29724230036548266,0.2545041749239971,0.64434528073767,0.7557837213393032,0.4879688693416132
2010,Eskişehir,2,Old-metropolitan,0.2960672589287767,0.2751883101395705,0.6848961878906996,0.6840734030217306,0.48505628999519435
2012,Eskişehir,2,Old-metropolitan,0.319824912827475,0.2636977520567615,0.8175470985054692,0.6705879031440388,0.5179144166334362
2014,Eskişehir,2,Old-metropolitan,0.3304440723109918,0.23791809369291803,0.7900866777862698,0.7040170559201322,0.515616474927578
2016,Eskişehir,2,Old-metropolitan,0.352262222804652,0.24486293905950024,0.7194821395691771,0.6230344906576921,0.48491044802275535
2018,Eskişehir,2,Old-metropolitan,0.354525403131954,0.24831447718213492,0.7346406646999352,0.7245897471382826,0.5155175730380767
2020,Eskişehir,2,Old-metropolitan,0.3873219110900769,0.2671136860359042,0.7544041356439322,0.689788500946257,0.5246570584290425
2022,Eskişehir,2,Old-metropolitan,0.3688492060600902,0.2616339659965822,0.8230230932195552,0.7506014826871389,0.5510269369908416
2024,Eskişehir,2,Old-metropolitan,0.4008541769727427,0.2803751984486321,0.768415965471718,0.6571307378126834,0.526694019676444
2008,Bilecik,0,Non-metropolitan,0.2967430039066134,0.4067468460089468,0.6022927689532661,0.8406308031451197,0.5366033555034865
2010,Bilecik,0,Non-metropolitan,0.31613909299387993,0.3778937251991611,0.7104226875807926,0.8167981029720008,0.5553134021864586
2012,Bilecik,0,Non-metropolitan,0.338680769119311,0.3897190038513344,0.6217646328615298,0.8332076001209244,0.5458430014882749
2014,Bilecik,0,Non-metropolitan,0.3690309956478313,0.3935993851357615,0.6779953311383493,0.8058856051894617,0.5616278292778509
2016,Bilecik,0,Non-metropolitan,0.34081461848218625,0.37911691392556107,0.733569831799666,0.790136669974539,0.560909508545488
2018,Bilecik,0,Non-metropolitan,0.332103869810706,0.37408291611059996,0.7479862148368956,0.7668037114317265,0.555244178047482
2020,Bilecik,0,Non-metropolitan,0.3401806715551357,0.36069259786497454,0.7153524424873948,0.8325357308375008,0.5621903606862515
2022,Bilecik,0,Non-metropolitan,0.31424096860475836,0.3727952924844626,0.9057791294599203,0.8411719544899191,0.6084968362597651
2024,Bilecik,0,Non-metropolitan,0.33931548032457404,0.3724027200174099,0.8384954859396979,0.8470767756707782,0.599322615488115
2008,Kocaeli,2,Old-metropolitan,0.08997372041764774,0.22376380929855957,0.5968457465667213,0.9723279959233572,0.4707278180515715
2010,Kocaeli,2,Old-metropolitan,0.10097792637613211,0.2250114727321046,0.5808847425899606,0.9746716401308938,0.4703864454572728
2012,Kocaeli,2,Old-metropolitan,0.08997206329094153,0.22205947730061829,0.5967689088250188,0.9727936143559975,0.470398515943144
2014,Kocaeli,2,Old-metropolitan,0.09189485409359054,0.2190052688270019,0.6324648748064128,0.9816351844803887,0.48125004555184847
2016,Kocaeli,2,Old-metropolitan,0.08740416380094772,0.21703761044865938,0.5829579980197304,0.9638909148389987,0.462822671777084
2018,Kocaeli,2,Old-metropolitan,0.08316231657810783,0.21590533542457419,0.5874171842388234,0.9723057059010181,0.46469763553563087
2020,Kocaeli,2,Old-metropolitan,0.08390971879746528,0.215844593209159,0.6225115872410958,0.9624349376450094,0.47117520922318235
2022,Kocaeli,2,Old-metropolitan,0.08454291407232692,0.2110192960140274,0.7780791493746799,0.9771103115252264,0.5126879177465651
2024,Kocaeli,2,Old-metropolitan,0.08134531659296612,0.21261268667575212,0.6716487495785404,0.9118865835971123,0.4693733341110927
2008,Sakarya,2,Old-metropolitan,0.2754663598540584,0.33640517561880967,0.5607096031727474,0.7015509194589303,0.4685330145261365
2010,Sakarya,2,Old-metropolitan,0.2668361081328885,0.3231056940459939,0.6916385471738986,0.7025204733183752,0.496025205667789
2012,Sakarya,2,Old-metropolitan,0.25972531338323407,0.31335166892070637,0.592350816886495,0.6736819237302157,0.45977743073016275
2014,Sakarya,2,Old-metropolitan,0.25773418893158584,0.3100683456560165,0.5406226505656708,0.7060231724752164,0.4536120894071224
2016,Sakarya,2,Old-metropolitan,0.24417378182374372,0.2996075892132091,0.4624443443750095,0.6192663514839294,0.4063730167239729
2018,Sakarya,2,Old-metropolitan,0.2384553618696704,0.29324856172087166,0.5311380484628444,0.7270949079318094,0.44748421999629895
2020,Sakarya,2,Old-metropolitan,0.2430719854356975,0.28823624049911356,0.6249144202600265,0.6812501903674615,0.4593682091405748
2022,Sakarya,2,Old-metropolitan,0.2262006528811607,0.2788944324214088,0.7207871640259849,0.7072021125671162,0.48327109047391764
2024,Sakarya,2,Old-metropolitan,0.20827762257795898,0.27269341812185854,0.6632394417818899,0.6048909445224112,0.4372753567510297
2008,Düzce,0,Non-metropolitan,0.16250135497012022,0.35224318401225807,0.6244614181658312,0.8260374868984437,0.4913108610116633
2010,Düzce,0,Non-metropolitan,0.12267322425441039,0.3293082140438752,0.48437289218996493,0.8181837195896757,0.4386345125194816
2012,Düzce,0,Non-metropolitan,0.15062913615532908,0.3227127800455948,0.5167059856314118,0.7981834429873355,0.4470578362049178
2014,Düzce,0,Non-metropolitan,0.17478743038896907,0.3197426790323643,0.6094639608668126,0.8174448598015802,0.4803597325224316
2016,Düzce,0,Non-metropolitan,0.16532348043060385,0.31118786099083645,0.693834474520315,0.8065845655703429,0.49423259537802455
2018,Düzce,0,Non-metropolitan,0.16517152770267424,0.3040266928977144,0.7791782628191429,0.8395021716648515,0.5219696637710958
2020,Düzce,0,Non-metropolitan,0.17048104751131013,0.2987039307198728,0.8883545972342479,0.7922647119565702,0.5374510718555003
2022,Düzce,0,Non-metropolitan,0.1586737590527574,0.29076787555452094,0.9132689805802546,0.9078271581306068,0.5676344433295349
2024,Düzce,0,Non-metropolitan,0.14824726675503178,0.29074280701966815,0.8115689171411989,0.88570019763111,0.5340647971367523
2008,Bolu,0,Non-metropolitan,0.31445195688513905,0.27919247273149983,0.6522011599580018,0.8618843845477667,0.5269324935306019
2010,Bolu,0,Non-metropolitan,0.30788652010096856,0.2710027919606882,0.6591564745158529,0.8154974926669498,0.5133858198111149
2012,Bolu,0,Non-metropolitan,0.29662746311206545,0.26544766536337006,0.6181192422823046,0.853985488974734,0.5085449649331186
2014,Bolu,0,Non-metropolitan,0.29599719546117353,0.26280195177616367,0.5613099557011594,0.8499885057662014,0.49252440217617455
2016,Bolu,0,Non-metropolitan,0.2823991853200493,0.25731910440890093,0.6126060343640995,0.8528070789444624,0.5012828507593781
2018,Bolu,0,Non-metropolitan,0.27063078581951094,0.25195099164459583,0.6817818408613594,0.8772165065182432,0.5203950312109273
2020,Bolu,0,Non-metropolitan,0.28208958296251657,0.25455814645729213,0.717126301756436,0.8641221687547073,0.529474049982738
2022,Bolu,0,Non-metropolitan,0.2623403382738245,0.24547738715022102,0.8400060498298517,0.9153900138852024,0.5658034472847749
2024,Bolu,0,Non-metropolitan,0.269011598526674,0.2468720590595357,0.7864217217016908,0.8959520242909806,0.5495643508947203
2008,Yalova,0,Non-metropolitan,0.15754016604719528,0.2568800178694556,0.5091677921424078,0.9762523884013837,0.4749600911151106
2010,Yalova,0,Non-metropolitan,0.12563186622954947,0.25087835179745915,0.6501831022693112,0.9583979590087891,0.49627281982627724
2012,Yalova,0,Non-metropolitan,0.12109879997672644,0.26997228427448694,0.6622503574342441,0.9815374408079128,0.5087147206233426
2014,Yalova,0,Non-metropolitan,0.11001387822257909,0.2504985136133526,0.6448327723276712,0.9732574891837475,0.4946506633368376
2016,Yalova,0,Non-metropolitan,0.08628985484221764,0.24590229985376472,0.6351236964866429,0.98099602028006,0.4870779678656713
2018,Yalova,0,Non-metropolitan,0.0817363305456067,0.24202105466247273,0.6416896689157465,0.9820102135136959,0.4868643169093805
2020,Yalova,0,Non-metropolitan,0.05722401227613568,0.23707813087439486,0.48201703767086956,0.9819950485731316,0.43957855734863294
2022,Yalova,0,Non-metropolitan,0.0899622426528282,0.23374660282514528,0.6582928021539028,0.9845925908798142,0.49164855962792264
2024,Yalova,0,Non-metropolitan,0.07883827372384758,0.2302828114484095,0.6502861234385201,0.9886486677200558,0.4870139690827082
2008,Ankara,2,Old-metropolitan,0.12198809398288056,0.24818021095413187,0.319034846459611,0.9139859556926493,0.4007972767723182
2010,Ankara,2,Old-metropolitan,0.1384944414528166,0.24573036080374813,0.4934806033923831,0.8883210278802213,0.4415066083822923
2012,Ankara,2,Old-metropolitan,0.13046613310812025,0.2404955010016434,0.6234640623407783,0.9001412725613349,0.47364174225296923
2014,Ankara,2,Old-metropolitan,0.12404034517608592,0.23896006062162184,0.582720154459496,0.894588493470641,0.4600772634319612
2016,Ankara,2,Old-metropolitan,0.13851266176157223,0.23747165201178527,0.5779692924890167,0.8680172504314884,0.45549271417346565
2018,Ankara,2,Old-metropolitan,0.13144029195545293,0.23381345261357334,0.5535025683696875,0.9120403365919416,0.45769916238266384
2020,Ankara,2,Old-metropolitan,0.14340326488935057,0.23571857683264302,0.6756362222637184,0.9076048389715454,0.49059072573931434
2022,Ankara,2,Old-metropolitan,0.13432104520290153,0.23421034552665992,0.7634269834670886,0.9304379435775524,0.5155990794435507
2024,Ankara,2,Old-metropolitan,0.13330567285779954,0.2345913504863133,0.7282215965526335,0.9277625561728046,0.5059702940173877
2008,Konya,2,Old-metropolitan,0.3821232016719432,0.2024713540025244,0.5667607504624854,0.4670118362575012,0.40459178559861353
2010,Konya,2,Old-metropolitan,0.39878520294794767,0.21090428435464642,0.5916764361161329,0.35582743157135843,0.3892983387475213
2012,Konya,2,Old-metropolitan,0.4032351588387084,0.23764290373635788,0.5866830677322564,0.3369082938272031,0.3911173560336315
2014,Konya,2,Old-metropolitan,0.40962939456165653,0.2674749983756611,0.5417396973301933,0.283917464683734,0.37569038873781124
2016,Konya,2,Old-metropolitan,0.42050541017181653,0.2907429145370154,0.5434534722950657,0.1666880996358241,0.3553474741599304
2018,Konya,2,Old-metropolitan,0.42601631033364773,0.32369287036696875,0.5338426306035164,0.3333977846520926,0.40423739898905636
2020,Konya,2,Old-metropolitan,0.45112040386752916,0.3355682689939724,0.5145676793740084,0.0,0.3253140880588775
2022,Konya,2,Old-metropolitan,0.44685754498694136,0.3387775088454542,0.6413534431033322,0.29215858845096443,0.4297867713466731
2024,Konya,2,Old-metropolitan,0.4405853492727611,0.3403182398601013,0.5923373455666134,0.12022167157756758,0.3733656515692608
2008,Karaman,0,Non-metropolitan,0.3988534933009596,0.6112228712806229,0.542760626179817,0.55130610210313,0.5260357732161324
2010,Karaman,0,Non-metropolitan,0.37515353962586656,0.5833574924404463,0.7838468362003765,0.3972942751044134,0.5349130358427757
2012,Karaman,0,Non-metropolitan,0.40722400647675716,0.555033438184329,0.7280363180666614,0.42969157890149534,0.5299963354073107
2014,Karaman,0,Non-metropolitan,0.44343292123885863,0.5664010691484198,0.6758741719430714,0.35661505207768285,0.5105808036020082
2016,Karaman,0,Non-metropolitan,0.44441105338310355,0.568708413207995,0.7344385727970231,0.13501245660568273,0.4706426239984511
2018,Karaman,0,Non-metropolitan,0.44899309470071186,0.5797754431453372,0.7346493534414418,0.2526259264817938,0.5040109544423212
2020,Karaman,0,Non-metropolitan,0.4557681577970953,0.5664397896691701,0.8055644679057896,0.22519852698884446,0.5132427355902248
2022,Karaman,0,Non-metropolitan,0.44889137206637886,0.5617647178105807,0.9053710612526652,0.3228138683390601,0.5597102548671713
2024,Karaman,0,Non-metropolitan,0.46146847873324465,0.5309256633830883,0.9237548803809106,0.42244545670864164,0.5846486198014713
2008,Antalya,2,Old-metropolitan,0.6344289322226163,0.5234220292595746,0.37457063553591474,0.812242585926393,0.5861660457361247
2010,Antalya,2,Old-metropolitan,0.6217961370909437,0.5109285260070203,0.3972466051643464,0.8043527070770395,0.5835809938348375
2012,Antalya,2,Old-metropolitan,0.6186326644281551,0.5019620338802585,0.4566956226290728,0.8493192627376953,0.6066523959187955
2014,Antalya,2,Old-metropolitan,0.6086604616419407,0.49336521431666114,0.47144848353232294,0.8594862264344459,0.6082400964813427
2016,Antalya,2,Old-metropolitan,0.605457370934699,0.4904938441549135,0.4018202352710455,0.8673091219816288,0.5912701430855717
2018,Antalya,2,Old-metropolitan,0.6107149221878477,0.48499385692779295,0.35673391717318836,0.8893742620798751,0.585454239592176
2020,Antalya,2,Old-metropolitan,0.6229894733481436,0.47851821036565256,0.41688098011998864,0.8518795094393355,0.59256704331828
2022,Antalya,2,Old-metropolitan,0.609371020541688,0.4526320802809872,0.4811855979480383,0.8173357570196592,0.5901311139475932
2024,Antalya,2,Old-metropolitan,0.5996685862963231,0.450210659368364,0.37976034222787947,0.8305004797628446,0.5650350169138527
2008,Isparta,0,Non-metropolitan,0.2442751497032139,0.3176739441570758,0.6703988740232565,0.8443325459404978,0.519170128456011
2010,Isparta,0,Non-metropolitan,0.2567325774911574,0.313789499990832,0.733655614032253,0.8219265374858281,0.5315260572500177
2012,Isparta,0,Non-metropolitan,0.24113658105466756,0.3196874259592647,0.6998702914803518,0.8455399312249255,0.5265585574298024
2014,Isparta,0,Non-metropolitan,0.2577581971967782,0.3338551431167179,0.7166753472993412,0.8124868873590634,0.5301938937429752
2016,Isparta,0,Non-metropolitan,0.2794134213336873,0.33489838567675545,0.6731514068328937,0.7834018306167868,0.5177162611150308
2018,Isparta,0,Non-metropolitan,0.3102326527771037,0.32593352974271406,0.7052081667028676,0.8373270818504729,0.5446753577682896
2020,Isparta,0,Non-metropolitan,0.33707349450694535,0.3256790628483494,0.7377368012092961,0.8355935122036915,0.5590207176920705
2022,Isparta,0,Non-metropolitan,0.31162858106899377,0.3004173127868093,0.7887507951862094,0.8969331014314563,0.5744324476183672
2024,Isparta,0,Non-metropolitan,0.30189786272634545,0.2944051219102549,0.7387568962315567,0.857662305871117,0.5481805466848185
2008,Burdur,0,Non-metropolitan,0.356248837137647,0.384219486181827,0.8192391270954605,0.6782391455516621,0.5594866489916492
2010,Burdur,0,Non-metropolitan,0.3721473164069489,0.38213866939770186,0.8358079846793516,0.6276001129941586,0.5544235208695403
2012,Burdur,0,Non-metropolitan,0.4079592089311227,0.3826082006142772,0.857989804095576,0.6744338679257532,0.5807477703916822
2014,Burdur,0,Non-metropolitan,0.4380175323845043,0.3844022029207287,0.852110663502702,0.6325824812922871,0.5767782200250555
2016,Burdur,0,Non-metropolitan,0.5590016896994812,0.4105538585078151,0.7598627819682011,0.6088820903311701,0.5845751051266669
2018,Burdur,0,Non-metropolitan,0.5682153626262627,0.40968170403652315,0.7484376315662628,0.7371896166827214,0.6158810787279425
2020,Burdur,0,Non-metropolitan,0.6705923468746267,0.41514327774803467,0.604538871018139,0.7017361540478613,0.5980026624221654
2022,Burdur,0,Non-metropolitan,0.684758970409242,0.4145995188184243,0.6214644737838004,0.7772239234113837,0.6245117216057127
2024,Burdur,0,Non-metropolitan,0.7300263479820392,0.44270102445297554,0.5749812450470362,0.7235807312247698,0.6178223371767052
2008,Adana,2,Old-metropolitan,0.5193163103503428,0.4955080836838325,0.38942574924926177,0.49902158937660124,0.47581793316500953
2010,Adana,2,Old-metropolitan,0.4802469400847561,0.4695580566886455,0.34962625340582676,0.4392259369504412,0.43466429678241736
2012,Adana,2,Old-metropolitan,0.45943152542305965,0.4248733198018533,0.6579060619103279,0.4363184519199499,0.49463233976379767
2014,Adana,2,Old-metropolitan,0.4539528435263255,0.40872538907935896,0.6301369041646864,0.49807359364309334,0.49772218260336604
2016,Adana,2,Old-metropolitan,0.46985450169316956,0.41594816637456733,0.6101976864003991,0.3736405158316377,0.4674102175749434
2018,Adana,2,Old-metropolitan,0.506734014618196,0.45400068781342107,0.5571035953159282,0.5017491502040045,0.5048968619878874
2020,Adana,2,Old-metropolitan,0.4960886385671369,0.44488373920570395,0.5853292053997781,0.3999911716044422,0.4815731886942653
2022,Adana,2,Old-metropolitan,0.4512913773982672,0.40397625175793606,0.7547902177655137,0.54846065380294,0.5396296251811643
2024,Adana,2,Old-metropolitan,0.44534773228282565,0.403669223339009,0.6907916067385385,0.5061086494243348,0.511479302946177
2008,Mersin,2,Old-metropolitan,0.46769788185256067,0.5145906849650823,0.4973894067651903,0.8001734842859597,0.5699628644671982
